# z rho/M
-88.0692 0
-87.5692 0
-87.0692 0
-86.5692 0
-86.0692 0
-85.5692 0
-85.0692 0
-84.5692 0
-84.0692 0
-83.5692 0
-83.0692 0
-82.5692 0
-82.0692 0
-81.5692 0
-81.0692 0
-80.5692 0
-80.0692 0
-79.5692 0
-79.0692 0
-78.5692 0
-78.0692 0
-77.5692 0
-77.0692 0
-76.5692 0
-76.0692 0
-75.5692 0
-75.0692 0
-74.5692 0
-74.0692 0
-73.5692 0
-73.0692 0
-72.5692 0
-72.0692 0
-71.5692 0
-71.0692 0
-70.5692 0
-70.0692 0
-69.5692 0
-69.0692 0
-68.5692 0
-68.0692 0
-67.5692 0
-67.0692 0
-66.5692 0
-66.0692 0
-65.5692 0
-65.0692 0
-64.5692 0
-64.0692 0
-63.5692 0
-63.0692 0
-62.5692 0
-62.0692 0
-61.5692 0
-61.0692 0
-60.5692 0
-60.0692 0
-59.5692 0
-59.0692 0
-58.5692 0
-58.0692 0
-57.5692 0
-57.0692 0
-56.5692 0
-56.0692 0
-55.5692 0
-55.0692 0
-54.5692 0
-54.0692 0
-53.5692 0
-53.0692 0
-52.5692 0
-52.0692 0
-51.5692 0
-51.0692 0
-50.5692 0
-50.0692 0
-49.5692 0
-49.0692 0
-48.5692 0
-48.0692 0
-47.5692 0
-47.0692 0
-46.5692 0
-46.0692 0
-45.5692 0
-45.0692 0
-44.5692 0
-44.0692 0
-43.5692 0
-43.0692 0
-42.5692 0
-42.0692 0
-41.5692 0
-41.0692 0
-40.5692 0
-40.0692 0
-39.5692 0
-39.0692 0
-38.5692 0
-38.0692 0
-37.5692 0
-37.0692 0
-36.5692 0
-36.0692 0
-35.5692 0
-35.0692 0
-34.5692 0
-34.0692 0
-33.5692 0
-33.0692 0
-32.5692 0
-32.0692 0
-31.5692 0
-31.0692 0
-30.5692 0.000277319
-30.0692 0
-29.5692 0
-29.0692 0
-28.5692 0.000277319
-28.0692 0
-27.5692 0.000277319
-27.0692 0
-26.5692 0
-26.0692 0.000831957
-25.5692 0.000554638
-25.0692 0.000554638
-24.5692 0.000554638
-24.0692 0.000554638
-23.5692 0.00249587
-23.0692 0.00166391
-22.5692 0.00305051
-22.0692 0.00471442
-21.5692 0.00859689
-21.0692 0.00693297
-20.5692 0.0158072
-20.0692 0.0235721
-19.5692 0.032169
-19.0692 0.0496401
-18.5692 0.0745988
-18.0692 0.107045
-17.5692 0.148643
-17.0692 0.199947
-16.5692 0.285084
-16.0692 0.392406
-15.5692 0.539385
