# z rho/M
-106.289 0
-105.789 0
-105.289 0
-104.789 0
-104.289 0
-103.789 0
-103.289 0
-102.789 0
-102.289 0
-101.789 0
-101.289 0
-100.789 0
-100.289 0
-99.7887 0
-99.2887 0
-98.7887 0
-98.2887 0
-97.7887 0
-97.2887 0
-96.7887 0
-96.2887 0
-95.7887 0
-95.2887 0
-94.7887 0
-94.2887 0
-93.7887 0
-93.2887 0
-92.7887 0
-92.2887 0
-91.7887 0
-91.2887 0
-90.7887 0
-90.2887 0
-89.7887 0
-89.2887 0
-88.7887 0
-88.2887 0
-87.7887 0
-87.2887 0
-86.7887 0
-86.2887 0
-85.7887 0
-85.2887 0
-84.7887 0
-84.2887 0
-83.7887 0
-83.2887 0
-82.7887 0
-82.2887 0
-81.7887 0
-81.2887 0
-80.7887 0
-80.2887 0
-79.7887 0
-79.2887 0
-78.7887 0
-78.2887 0
-77.7887 0
-77.2887 0
-76.7887 0
-76.2887 0
-75.7887 0
-75.2887 0
-74.7887 0
-74.2887 0
-73.7887 0
-73.2887 0
-72.7887 0
-72.2887 0
-71.7887 0
-71.2887 0
-70.7887 0
-70.2887 0
-69.7887 0
-69.2887 0
-68.7887 0
-68.2887 0
-67.7887 0
-67.2887 0
-66.7887 0
-66.2887 0
-65.7887 0
-65.2887 0
-64.7887 0
-64.2887 0
-63.7887 0
-63.2887 0
-62.7887 0
-62.2887 0
-61.7887 0
-61.2887 0
-60.7887 0
-60.2887 0
-59.7887 0
-59.2887 0
-58.7887 0
-58.2887 0
-57.7887 0
-57.2887 0
-56.7887 0
-56.2887 0
-55.7887 0
-55.2887 0
-54.7887 0
-54.2887 0
-53.7887 0
-53.2887 0
-52.7887 0
-52.2887 0
-51.7887 0
-51.2887 0
-50.7887 0
-50.2887 0
-49.7887 0
-49.2887 0
-48.7887 0
-48.2887 0
-47.7887 0
-47.2887 0
-46.7887 0
-46.2887 0
-45.7887 0
-45.2887 0
-44.7887 0
-44.2887 0
-43.7887 0
-43.2887 0
-42.7887 0
-42.2887 0
-41.7887 0
-41.2887 0
-40.7887 0
-40.2887 0
-39.7887 0
-39.2887 0
-38.7887 0
-38.2887 0
-37.7887 0
-37.2887 0
-36.7887 0
-36.2887 0
-35.7887 0
-35.2887 0
-34.7887 0
-34.2887 0
-33.7887 0
-33.2887 0
-32.7887 0
-32.2887 0
-31.7887 0
-31.2887 0
-30.7887 0
-30.2887 0
-29.7887 0
-29.2887 0
-28.7887 0
-28.2887 0.00066938
-27.7887 0.00133876
-27.2887 0.00100407
-26.7887 0.00066938
-26.2887 0.00468566
-25.7887 0.00769787
-25.2887 0.019412
-24.7887 0.0354771
-24.2887 0.0743011
-23.7887 0.143582
-23.2887 0.287499
-22.7887 0.50672
-22.2887 0.840741
-21.7887 1.30027
-21.2887 1.8495
-20.7887 2.47135
-20.2887 2.9697
-19.7887 3.36899
-19.2887 3.74384
-18.7887 3.82048
-18.2887 3.86199
-17.7887 3.89412
-17.2887 3.84224
-16.7887 3.68594
-16.2887 3.40848
-15.7887 3.03396
-15.2887 2.43319
-14.7887 1.7839
-14.2887 1.21492
-13.7887 0.741338
-13.2887 0.422379
-12.7887 0.211859
-12.2887 0.109778
-11.7887 0.0575666
-11.2887 0.0277793
-10.7887 0.015061
-10.2887 0.00468566
-9.78865 0.00301221
-9.28865 0.00167345
-8.78865 0.00167345
-8.28865 0
-7.78865 0
-7.28865 0
-6.78865 0
-6.28865 0
-5.78865 0
-5.28865 0
-4.78865 0
-4.28865 0
-3.78865 0
-3.28865 0
-2.78865 0
-2.28865 0
-1.78865 0
-1.28865 0
-0.788651 0
-0.288651 0
0.211349 0
0.711349 0
1.21135 0
1.71135 0
2.21135 0
2.71135 0
3.21135 0
3.71135 0
4.21135 0
4.71135 0
5.21135 0
5.71135 0
6.21135 0
6.71135 0
7.21135 0
7.71135 0
8.21135 0
8.71135 0
9.21135 0
9.71135 0.00066938
10.2113 0.00167345
10.7113 0.0033469
11.2113 0.0100407
11.7113 0.0277793
12.2113 0.0642604
12.7113 0.137892
13.2113 0.23696
13.7113 0.423717
14.2113 0.744015
14.7113 1.21526
15.2113 1.73871
15.7113 2.38065
16.2113 2.94293
16.7113 3.42086
17.2113 3.76191
17.7113 3.85094
18.2113 3.93261
18.7113 3.87905
19.2113 3.76359
19.7113 3.65013
20.2113 3.44128
20.7113 2.96334
21.2113 2.47202
21.7113 1.92848
22.2113 1.32872
22.7113 0.840406
23.2113 0.499022
23.7113 0.279131
24.2113 0.132537
24.7113 0.0732971
25.2113 0.0314608
