# z rho/M
-90.5428 0
-90.0428 0
-89.5428 0
-89.0428 0
-88.5428 0
-88.0428 0
-87.5428 0
-87.0428 0
-86.5428 0
-86.0428 0
-85.5428 0
-85.0428 0
-84.5428 0
-84.0428 0
-83.5428 0
-83.0428 0
-82.5428 0
-82.0428 0
-81.5428 0
-81.0428 0
-80.5428 0
-80.0428 0
-79.5428 0
-79.0428 0
-78.5428 0
-78.0428 0
-77.5428 0
-77.0428 0
-76.5428 0
-76.0428 0
-75.5428 0
-75.0428 0
-74.5428 0
-74.0428 0
-73.5428 0
-73.0428 0
-72.5428 0
-72.0428 0
-71.5428 0
-71.0428 0
-70.5428 0
-70.0428 0
-69.5428 0
-69.0428 0
-68.5428 0
-68.0428 0
-67.5428 0
-67.0428 0
-66.5428 0
-66.0428 0
-65.5428 0
-65.0428 0
-64.5428 0
-64.0428 0
-63.5428 0
-63.0428 0
-62.5428 0
-62.0428 0
-61.5428 0
-61.0428 0
-60.5428 0
-60.0428 0
-59.5428 0
-59.0428 0
-58.5428 0
-58.0428 0
-57.5428 0
-57.0428 0
-56.5428 0
-56.0428 0
-55.5428 0
-55.0428 0
-54.5428 0
-54.0428 0
-53.5428 0
-53.0428 0
-52.5428 0
-52.0428 0
-51.5428 0
-51.0428 0
-50.5428 0
-50.0428 0
-49.5428 0
-49.0428 0
-48.5428 0
-48.0428 0
-47.5428 0
-47.0428 0
-46.5428 0
-46.0428 0
-45.5428 0
-45.0428 0
-44.5428 0
-44.0428 0
-43.5428 0
-43.0428 0
-42.5428 0
-42.0428 0
-41.5428 0
-41.0428 0
-40.5428 0
-40.0428 0
-39.5428 0
-39.0428 0
-38.5428 0
-38.0428 0
-37.5428 0
-37.0428 0
-36.5428 0
-36.0428 0
-35.5428 0
-35.0428 0
-34.5428 0
-34.0428 0
-33.5428 0
-33.0428 0
-32.5428 0
-32.0428 0
-31.5428 0
-31.0428 0
-30.5428 0
-30.0428 0
-29.5428 0
-29.0428 0
-28.5428 0
-28.0428 0
-27.5428 0
-27.0428 0
-26.5428 0
-26.0428 0
-25.5428 0
-25.0428 0
-24.5428 0
-24.0428 0
-23.5428 0.000570216
-23.0428 0.000285108
-22.5428 0.000285108
-22.0428 0.000570216
-21.5428 0.00285108
-21.0428 0.00484683
-20.5428 0.00655748
-20.0428 0.00741281
-19.5428 0.0142554
-19.0428 0.0270853
-18.5428 0.0493237
-18.0428 0.0784047
-17.5428 0.10663
-17.0428 0.163937
-16.5428 0.246048
-16.0428 0.379764
-15.5428 0.520607
-15.0428 0.72731
-14.5428 0.958533
-14.0428 1.29182
-13.5428 1.5661
-13.0428 1.87544
-12.5428 2.17252
-12.0428 2.50239
-11.5428 2.77781
-11.0428 3.00076
-10.5428 3.07717
-10.0428 3.1952
-9.54276 3.06691
-9.04276 3.021
-8.54276 2.93633
-8.04276 2.85963
-7.54276 2.83226
-7.04276 2.91067
-6.54276 2.93319
-6.04276 3.09656
-5.54276 3.1704
-5.04276 3.36199
-4.54276 3.51053
-4.04276 3.56527
-3.54276 3.51025
-3.04276 3.46007
-2.54276 3.24738
-2.04276 3.09684
-1.54276 2.92093
-1.04276 2.81402
-0.542759 2.7091
-0.042759 2.70026
0.457241 2.81658
0.957241 2.92236
1.45724 3.11651
1.95724 3.33833
2.45724 3.42928
2.95724 3.58352
3.45724 3.55473
3.95724 3.46007
4.45724 3.38138
4.95724 3.25023
5.45724 3.12649
5.95724 3.01331
6.45724 2.92635
6.95724 2.95457
7.45724 2.96199
7.95724 3.05094
8.45724 3.10654
8.95724 3.16014
9.45724 3.13134
9.95724 3.18808
10.4572 3.04096
10.9572 2.90069
11.4572 2.70624
11.9572 2.43283
12.4572 2.14458
12.9572 1.87259
13.4572 1.56724
13.9572 1.21627
14.4572 0.967941
14.9572 0.735293
15.4572 0.494092
15.9572 0.3695
16.4572 0.241486
16.9572 0.146545
17.4572 0.108911
17.9572 0.0630089
18.4572 0.0404853
18.9572 0.0276555
19.4572 0.0119745
19.9572 0.00798302
20.4572 0.00627237
20.9572 0.00399151
21.4572 0.00142554
21.9572 0.000285108
22.4572 0.00142554
22.9572 0.00114043
23.4572 0.000285108
23.9572 0.000285108
24.4572 0.000570216
24.9572 0.000855324
25.4572 0.000570216
25.9572 0.000285108
26.4572 0
26.9572 0.000285108
27.4572 0
27.9572 0
28.4572 0
28.9572 0
29.4572 0
29.9572 0
30.4572 0
30.9572 0
31.4572 0
31.9572 0
32.4572 0
32.9572 0
33.4572 0
33.9572 0
34.4572 0
34.9572 0
35.4572 0
35.9572 0
36.4572 0
36.9572 0
37.4572 0
37.9572 0
38.4572 0
38.9572 0
39.4572 0
39.9572 0
40.4572 0
40.9572 0
41.4572 0
41.9572 0
42.4572 0
42.9572 0
43.4572 0
43.9572 0
44.4572 0
44.9572 0
45.4572 0
45.9572 0
46.4572 0
46.9572 0
47.4572 0
47.9572 0
48.4572 0
48.9572 0
49.4572 0
49.9572 0
50.4572 0
50.9572 0
51.4572 0
51.9572 0
52.4572 0
52.9572 0
53.4572 0
53.9572 0
54.4572 0
54.9572 0
55.4572 0
55.9572 0
56.4572 0
56.9572 0
57.4572 0
57.9572 0
58.4572 0
58.9572 0
59.4572 0
59.9572 0
60.4572 0
60.9572 0
61.4572 0
61.9572 0
62.4572 0
62.9572 0
63.4572 0
63.9572 0
64.4572 0
64.9572 0
65.4572 0
65.9572 0
66.4572 0
66.9572 0
67.4572 0
67.9572 0
68.4572 0
68.9572 0
69.4572 0
69.9572 0
70.4572 0
70.9572 0
71.4572 0
71.9572 0
72.4572 0
72.9572 0
73.4572 0
73.9572 0
74.4572 0
74.9572 0
75.4572 0
75.9572 0
76.4572 0
76.9572 0
77.4572 0
77.9572 0
78.4572 0
78.9572 0
79.4572 0
79.9572 0
80.4572 0
80.9572 0
81.4572 0
81.9572 0
82.4572 0
82.9572 0
83.4572 0
83.9572 0
84.4572 0
84.9572 0
85.4572 0
85.9572 0
86.4572 0
86.9572 0
87.4572 0
87.9572 0
88.4572 0
88.9572 0
89.4572 0
89.9572 0
90.4572 0
