# z rho/M
-101.734 0
-101.234 0
-100.734 0
-100.234 0
-99.7337 0
-99.2337 0
-98.7337 0
-98.2337 0
-97.7337 0
-97.2337 0
-96.7337 0
-96.2337 0
-95.7337 0
-95.2337 0
-94.7337 0
-94.2337 0
-93.7337 0
-93.2337 0
-92.7337 0
-92.2337 0
-91.7337 0
-91.2337 0
-90.7337 0
-90.2337 0
-89.7337 0
-89.2337 0
-88.7337 0
-88.2337 0
-87.7337 0
-87.2337 0
-86.7337 0
-86.2337 0
-85.7337 0
-85.2337 0
-84.7337 0
-84.2337 0
-83.7337 0
-83.2337 0
-82.7337 0
-82.2337 0
-81.7337 0
-81.2337 0
-80.7337 0
-80.2337 0
-79.7337 0
-79.2337 0
-78.7337 0
-78.2337 0
-77.7337 0
-77.2337 0
-76.7337 0
-76.2337 0
-75.7337 0
-75.2337 0
-74.7337 0
-74.2337 0
-73.7337 0
-73.2337 0
-72.7337 0
-72.2337 0
-71.7337 0
-71.2337 0
-70.7337 0
-70.2337 0
-69.7337 0
-69.2337 0
-68.7337 0
-68.2337 0
-67.7337 0
-67.2337 0
-66.7337 0
-66.2337 0
-65.7337 0
-65.2337 0
-64.7337 0
-64.2337 0
-63.7337 0
-63.2337 0
-62.7337 0
-62.2337 0
-61.7337 0
-61.2337 0
-60.7337 0
-60.2337 0
-59.7337 0
-59.2337 0
-58.7337 0
-58.2337 0
-57.7337 0
-57.2337 0
-56.7337 0
-56.2337 0
-55.7337 0
-55.2337 0
-54.7337 0
-54.2337 0
-53.7337 0
-53.2337 0
-52.7337 0
-52.2337 0
-51.7337 0
-51.2337 0
-50.7337 0
-50.2337 0
-49.7337 0
-49.2337 0
-48.7337 0
-48.2337 0
-47.7337 0
-47.2337 0
-46.7337 0
-46.2337 0
-45.7337 0
-45.2337 0
-44.7337 0
-44.2337 0
-43.7337 0
-43.2337 0
-42.7337 0
-42.2337 0
-41.7337 0
-41.2337 0
-40.7337 0
-40.2337 0
-39.7337 0
-39.2337 0
-38.7337 0
-38.2337 0
-37.7337 0
-37.2337 0
-36.7337 0
-36.2337 0
-35.7337 0
-35.2337 0
-34.7337 0
-34.2337 0
-33.7337 0
-33.2337 0
-32.7337 0
-32.2337 0
-31.7337 0
-31.2337 0
-30.7337 0
-30.2337 0
-29.7337 0
-29.2337 0
-28.7337 0
-28.2337 0
-27.7337 0
-27.2337 0
-26.7337 0
-26.2337 0
-25.7337 0
-25.2337 0
-24.7337 0
-24.2337 0
-23.7337 0.000160173
-23.2337 8.00867e-05
-22.7337 0.000320347
-22.2337 0.000160173
-21.7337 0.000160173
-21.2337 0.000560607
-20.7337 0.000800867
-20.2337 0.00168182
-19.7337 0.00272295
-19.2337 0.00584633
-18.7337 0.0104914
-18.2337 0.0185
-17.7337 0.0407641
-17.2337 0.0781646
-16.7337 0.145037
-16.2337 0.277981
-15.7337 0.477557
-15.2337 0.774759
-14.7337 1.18456
-14.2337 1.66708
-13.7337 2.16659
-13.2337 2.71702
-12.7337 3.10993
-12.2337 3.40761
-11.7337 3.66301
-11.2337 3.81757
-10.7337 3.8444
-10.2337 3.82334
-9.73371 3.6984
-9.23371 3.45919
-8.73371 3.15221
-8.23371 2.85757
-7.73371 2.67826
-7.23371 2.68779
-6.73371 2.86734
-6.23371 3.17792
-5.73371 3.48922
-5.23371 3.75727
-4.73371 3.95052
-4.23371 4.07409
-3.73371 4.11518
-3.23371 4.01042
-2.73371 3.82999
-2.23371 3.50588
-1.73371 3.07213
-1.23371 2.6789
-0.733706 2.36624
-0.233706 2.27743
0.266294 2.45522
0.766294 2.78381
1.26629 3.21004
1.76629 3.56306
2.26629 3.8766
2.76629 4.03221
3.26629 4.08851
3.76629 4.09419
4.26629 3.93818
4.76629 3.76199
5.26629 3.47288
5.76629 3.1607
6.26629 2.88472
6.76629 2.73889
7.26629 2.77749
7.76629 2.97866
8.26629 3.23622
8.76629 3.53503
9.26629 3.7278
9.76629 3.82174
10.2663 3.83647
10.7663 3.79082
11.2663 3.67822
11.7663 3.44469
12.2663 3.1012
12.7663 2.63966
13.2663 2.16603
13.7663 1.63473
14.2663 1.11697
14.7663 0.758421
15.2663 0.447124
15.7663 0.251632
16.2663 0.13863
16.7663 0.0672728
17.2663 0.0303529
17.7663 0.0140953
18.2663 0.0054459
18.7663 0.00256277
19.2663 0.00160173
19.7663 0.000560607
20.2663 0.00048052
20.7663 8.00867e-05
21.2663 0.000160173
21.7663 8.00867e-05
22.2663 8.00867e-05
22.7663 0
23.2663 0
23.7663 0
24.2663 0
24.7663 0
25.2663 0
25.7663 0
26.2663 0
26.7663 0
27.2663 0
27.7663 0
28.2663 0
28.7663 0
29.2663 0
29.7663 0
30.2663 0
30.7663 0
31.2663 0
31.7663 0
32.2663 0
32.7663 0
33.2663 0
33.7663 0
34.2663 0
34.7663 0
35.2663 0
35.7663 0
36.2663 0
36.7663 0
37.2663 0
37.7663 0
38.2663 0
38.7663 0
39.2663 0
39.7663 0
40.2663 0
40.7663 0
41.2663 0
41.7663 0
42.2663 0
42.7663 0
43.2663 0
43.7663 0
44.2663 0
44.7663 0
45.2663 0
45.7663 0
46.2663 0
46.7663 0
47.2663 0
47.7663 0
48.2663 0
48.7663 0
49.2663 0
49.7663 0
50.2663 0
50.7663 0
51.2663 0
51.7663 0
52.2663 0
52.7663 0
53.2663 0
53.7663 0
54.2663 0
54.7663 0
55.2663 0
55.7663 0
56.2663 0
56.7663 0
57.2663 0
57.7663 0
58.2663 0
58.7663 0
59.2663 0
59.7663 0
60.2663 0
60.7663 0
61.2663 0
61.7663 0
62.2663 0
62.7663 0
63.2663 0
63.7663 0
64.2663 0
64.7663 0
65.2663 0
65.7663 0
66.2663 0
66.7663 0
67.2663 0
67.7663 0
68.2663 0
68.7663 0
69.2663 0
69.7663 0
70.2663 0
70.7663 0
71.2663 0
71.7663 0
72.2663 0
72.7663 0
73.2663 0
73.7663 0
74.2663 0
74.7663 0
75.2663 0
75.7663 0
76.2663 0
76.7663 0
77.2663 0
77.7663 0
78.2663 0
78.7663 0
79.2663 0
79.7663 0
80.2663 0
80.7663 0
81.2663 0
81.7663 0
82.2663 0
82.7663 0
83.2663 0
83.7663 0
84.2663 0
84.7663 0
85.2663 0
85.7663 0
86.2663 0
86.7663 0
87.2663 0
87.7663 0
88.2663 0
88.7663 0
89.2663 0
89.7663 0
90.2663 0
90.7663 0
91.2663 0
91.7663 0
92.2663 0
92.7663 0
93.2663 0
93.7663 0
94.2663 0
94.7663 0
95.2663 0
95.7663 0
96.2663 0
96.7663 0
97.2663 0
97.7663 0
98.2663 0
98.7663 0
99.2663 0
99.7663 0
100.266 0
100.766 0
101.266 0
