# z rho/M
-91.7547 0
-91.2547 0
-90.7547 0
-90.2547 0
-89.7547 0
-89.2547 0
-88.7547 0
-88.2547 0
-87.7547 0
-87.2547 0
-86.7547 0
-86.2547 0
-85.7547 0
-85.2547 0
-84.7547 0
-84.2547 0
-83.7547 0
-83.2547 0
-82.7547 0
-82.2547 0
-81.7547 0
-81.2547 0
-80.7547 0
-80.2547 0
-79.7547 0
-79.2547 0
-78.7547 0
-78.2547 0
-77.7547 0
-77.2547 0
-76.7547 0
-76.2547 0
-75.7547 0
-75.2547 0
-74.7547 0
-74.2547 0
-73.7547 0
-73.2547 0
-72.7547 0
-72.2547 0
-71.7547 0
-71.2547 0
-70.7547 0
-70.2547 0
-69.7547 0
-69.2547 0
-68.7547 0
-68.2547 0
-67.7547 0
-67.2547 0
-66.7547 0
-66.2547 0
-65.7547 0
-65.2547 0
-64.7547 0
-64.2547 0
-63.7547 0
-63.2547 0
-62.7547 0
-62.2547 0
-61.7547 0
-61.2547 0
-60.7547 0
-60.2547 0
-59.7547 0
-59.2547 0
-58.7547 0
-58.2547 0
-57.7547 0
-57.2547 0
-56.7547 0
-56.2547 0
-55.7547 0
-55.2547 0
-54.7547 0
-54.2547 0
-53.7547 0
-53.2547 0
-52.7547 0
-52.2547 0
-51.7547 0
-51.2547 0
-50.7547 0
-50.2547 0
-49.7547 0
-49.2547 0
-48.7547 0
-48.2547 0
-47.7547 0
-47.2547 0
-46.7547 0
-46.2547 0
-45.7547 0
-45.2547 0
-44.7547 0
-44.2547 0
-43.7547 0
-43.2547 0
-42.7547 0
-42.2547 0
-41.7547 0
-41.2547 0
-40.7547 0
-40.2547 0
-39.7547 0
-39.2547 0
-38.7547 0
-38.2547 0
-37.7547 0
-37.2547 0
-36.7547 0
-36.2547 0
-35.7547 0
-35.2547 0
-34.7547 0
-34.2547 0
-33.7547 0
-33.2547 7.2231e-05
-32.7547 0
-32.2547 0
-31.7547 7.2231e-05
-31.2547 0.000144462
-30.7547 0.000216693
-30.2547 0.000144462
-29.7547 0.000505617
-29.2547 0.000361155
-28.7547 0.000939004
-28.2547 0.00223916
-27.7547 0.0030337
-27.2547 0.00433386
-26.7547 0.00888442
-26.2547 0.0144462
-25.7547 0.0218138
-25.2547 0.0366934
-24.7547 0.0601685
-24.2547 0.0939726
-23.7547 0.162159
-23.2547 0.257287
-22.7547 0.385642
-22.2547 0.561307
-21.7547 0.795842
-21.2547 1.05927
-20.7547 1.37687
-20.2547 1.70516
-19.7547 2.0289
-19.2547 2.30496
-18.7547 2.59512
-18.2547 2.81737
-17.7547 2.94609
-17.2547 2.99665
-16.7547 2.91546
-16.2547 2.75995
-15.7547 2.5413
-15.2547 2.27679
-14.7547 1.91643
-14.2547 1.61407
-13.7547 1.28138
-13.2547 1.01456
-12.7547 0.782407
-12.2547 0.577921
-11.7547 0.445666
-11.2547 0.31825
-10.7547 0.237207
-10.2547 0.179783
-9.7547 0.133772
-9.2547 0.101123
-8.7547 0.0774317
-8.2547 0.0517174
-7.7547 0.0385714
-7.2547 0.0273756
-6.7547 0.0194302
-6.2547 0.0154574
-5.7547 0.011268
-5.2547 0.00816211
-4.7547 0.00592295
-4.2547 0.00440609
-3.7547 0.00310593
-3.2547 0.00296147
-2.7547 0.000939004
-2.2547 0.0011557
-1.7547 0.000650079
-1.2547 0.000650079
-0.754701 0.00072231
-0.254701 0.000433386
0.245299 0.000866773
0.745299 0.00173355
1.2453 0.00238362
1.7453 0.00296147
2.2453 0.00433386
2.7453 0.00606741
3.2453 0.00657303
3.7453 0.00960673
4.2453 0.0132183
4.7453 0.0147351
5.2453 0.0229695
5.7453 0.0268699
6.2453 0.0306982
6.7453 0.0425441
7.2453 0.0496227
7.7453 0.0686917
8.2453 0.0884108
8.7453 0.105385
9.2453 0.132472
9.7453 0.171332
10.2453 0.229045
10.7453 0.285602
11.2453 0.365489
11.7453 0.473474
12.2453 0.611147
12.7453 0.777351
13.2453 1.00307
13.7453 1.27921
14.2453 1.57009
14.7453 1.85785
15.2453 2.1717
15.7453 2.49226
16.2453 2.74897
16.7453 2.92124
17.2453 3.03183
17.7453 3.08102
18.2453 2.98061
18.7453 2.86252
19.2453 2.65536
19.7453 2.36304
20.2453 2.01792
20.7453 1.70776
21.2453 1.37564
21.7453 1.0402
22.2453 0.773811
22.7453 0.552495
23.2453 0.372784
23.7453 0.247391
24.2453 0.153997
24.7453 0.0954172
25.2453 0.0559791
25.7453 0.0354654
26.2453 0.0206581
26.7453 0.0116292
27.2453 0.00823434
27.7453 0.00650079
28.2453 0.00440609
28.7453 0.00274478
29.2453 0.00288924
29.7453 0.00202247
30.2453 0.00108347
30.7453 0.00202247
31.2453 0.00122793
31.7453 0.00101123
32.2453 0.000866773
32.7453 0.000866773
33.2453 0.000794541
33.7453 0.000939004
34.2453 0.00101123
34.7453 0.000505617
35.2453 0.00072231
35.7453 0.000794541
36.2453 0.000433386
36.7453 0.000505617
37.2453 0.000433386
37.7453 0.000361155
38.2453 0.000433386
38.7453 0.000288924
