# z rho/M
-108.086 0
-107.586 0
-107.086 0
-106.586 0
-106.086 0
-105.586 0
-105.086 0
-104.586 0
-104.086 0
-103.586 0
-103.086 0
-102.586 0
-102.086 0
-101.586 0
-101.086 0
-100.586 0
-100.086 0
-99.5858 0
-99.0858 0
-98.5858 0
-98.0858 0
-97.5858 0
-97.0858 0
-96.5858 0
-96.0858 0
-95.5858 0
-95.0858 0
-94.5858 0
-94.0858 0
-93.5858 0
-93.0858 0
-92.5858 0
-92.0858 0
-91.5858 0
-91.0858 0
-90.5858 0
-90.0858 0
-89.5858 0
-89.0858 0
-88.5858 0
-88.0858 0
-87.5858 0
-87.0858 0
-86.5858 0
-86.0858 0
-85.5858 0
-85.0858 0
-84.5858 0
-84.0858 0
-83.5858 0
-83.0858 0
-82.5858 0
-82.0858 0
-81.5858 0
-81.0858 0
-80.5858 0
-80.0858 0
-79.5858 0
-79.0858 0
-78.5858 0
-78.0858 0
-77.5858 0
-77.0858 0
-76.5858 0
-76.0858 0
-75.5858 0
-75.0858 0
-74.5858 0
-74.0858 0
-73.5858 0
-73.0858 0
-72.5858 0
-72.0858 0
-71.5858 0
-71.0858 0
-70.5858 0
-70.0858 0
-69.5858 0
-69.0858 0
-68.5858 0
-68.0858 0
-67.5858 0
-67.0858 0
-66.5858 0
-66.0858 0
-65.5858 0
-65.0858 0
-64.5858 0
-64.0858 0
-63.5858 0
-63.0858 0
-62.5858 0
-62.0858 0
-61.5858 0
-61.0858 0
-60.5858 0
-60.0858 0
-59.5858 0
-59.0858 0
-58.5858 0
-58.0858 0
-57.5858 0
-57.0858 0
-56.5858 0
-56.0858 0
-55.5858 0
-55.0858 0
-54.5858 0
-54.0858 0
-53.5858 0
-53.0858 0
-52.5858 0
-52.0858 0
-51.5858 0
-51.0858 0
-50.5858 0
-50.0858 0
-49.5858 0
-49.0858 0
-48.5858 0
-48.0858 0
-47.5858 0
-47.0858 0
-46.5858 0
-46.0858 0
-45.5858 0
-45.0858 0
-44.5858 0
-44.0858 0
-43.5858 0
-43.0858 0
-42.5858 0
-42.0858 0
-41.5858 0
-41.0858 0
-40.5858 0
-40.0858 0
-39.5858 0
-39.0858 0
-38.5858 0
-38.0858 0
-37.5858 0
-37.0858 0
-36.5858 0
-36.0858 0
-35.5858 0
-35.0858 0
-34.5858 0
-34.0858 0
-33.5858 0
-33.0858 0
-32.5858 0
-32.0858 0
-31.5858 0
-31.0858 0
-30.5858 0
-30.0858 0
-29.5858 0
-29.0858 0
-28.5858 0
-28.0858 0
-27.5858 0
-27.0858 0
-26.5858 0
-26.0858 0
-25.5858 0
-25.0858 0
-24.5858 0
-24.0858 0
-23.5858 0
-23.0858 0
-22.5858 0
-22.0858 0
-21.5858 0
-21.0858 0
-20.5858 0
-20.0858 8.50872e-05
-19.5858 0
-19.0858 0.00059561
-18.5858 0.000425436
-18.0858 0.00425436
-17.5858 0.0114017
-17.0858 0.0269726
-16.5858 0.0696013
-16.0858 0.16609
-15.5858 0.353367
-15.0858 0.694397
-14.5858 1.24015
-14.0858 2.02439
-13.5858 2.90037
-13.0858 3.64224
-12.5858 4.05985
-12.0858 4.07559
-11.5858 3.89997
-11.0858 3.79463
-10.5858 3.9808
-10.0858 4.22279
-9.5858 4.25853
-9.0858 3.95775
-8.5858 3.30547
-8.0858 2.66646
-7.5858 2.24647
-7.0858 2.32501
-6.5858 2.82056
-6.0858 3.57673
-5.5858 4.11405
-5.0858 4.27767
-4.5858 4.13924
-4.0858 3.95375
-3.5858 4.0544
-3.0858 4.23658
-2.5858 4.41066
