# z rho/M
-88.0387 0
-87.5387 0
-87.0387 0
-86.5387 0
-86.0387 0
-85.5387 0
-85.0387 0
-84.5387 0
-84.0387 0
-83.5387 0
-83.0387 0
-82.5387 0
-82.0387 0
-81.5387 0
-81.0387 0
-80.5387 0
-80.0387 0
-79.5387 0
-79.0387 0
-78.5387 0
-78.0387 0
-77.5387 0
-77.0387 0
-76.5387 0
-76.0387 0
-75.5387 0
-75.0387 0
-74.5387 0
-74.0387 0
-73.5387 0
-73.0387 0
-72.5387 0
-72.0387 0
-71.5387 0
-71.0387 0
-70.5387 0
-70.0387 0
-69.5387 0
-69.0387 0
-68.5387 0
-68.0387 0
-67.5387 0
-67.0387 0
-66.5387 0
-66.0387 0
-65.5387 0
-65.0387 0
-64.5387 0
-64.0387 0
-63.5387 0
-63.0387 0
-62.5387 0
-62.0387 0
-61.5387 0
-61.0387 0
-60.5387 0
-60.0387 0
-59.5387 0
-59.0387 0
-58.5387 0
-58.0387 0
-57.5387 0
-57.0387 0
-56.5387 0
-56.0387 0
-55.5387 0
-55.0387 0
-54.5387 0
-54.0387 0
-53.5387 0
-53.0387 0
-52.5387 0
-52.0387 0
-51.5387 0
-51.0387 0
-50.5387 0
-50.0387 0
-49.5387 0
-49.0387 0
-48.5387 0
-48.0387 0
-47.5387 0
-47.0387 0
-46.5387 0
-46.0387 0
-45.5387 0
-45.0387 0
-44.5387 0
-44.0387 0
-43.5387 0
-43.0387 0
-42.5387 0
-42.0387 0
-41.5387 0
-41.0387 0
-40.5387 0
-40.0387 0
-39.5387 0
-39.0387 0
-38.5387 0
-38.0387 0
-37.5387 0
-37.0387 0
-36.5387 0
-36.0387 0
-35.5387 0
-35.0387 0
-34.5387 0
-34.0387 0
-33.5387 0
-33.0387 0
-32.5387 0
-32.0387 0
-31.5387 0
-31.0387 0
-30.5387 0
-30.0387 0
-29.5387 0
-29.0387 6.93058e-05
-28.5387 0
-28.0387 0
-27.5387 0.000138612
-27.0387 6.93058e-05
-26.5387 6.93058e-05
-26.0387 0.000138612
-25.5387 0
-25.0387 0.000554446
-24.5387 0.00048514
-24.0387 0.000415835
-23.5387 0.00138612
-23.0387 0.00159403
-22.5387 0.00249501
-22.0387 0.00346529
-21.5387 0.00499002
-21.0387 0.00824739
-20.5387 0.0103266
-20.0387 0.0175344
-19.5387 0.0223165
-19.0387 0.0388112
-18.5387 0.0564149
-18.0387 0.0886421
-17.5387 0.127592
-17.0387 0.184977
-16.5387 0.266273
-16.0387 0.387211
-15.5387 0.522288
-15.0387 0.697355
-14.5387 0.936529
-14.0387 1.19636
-13.5387 1.47427
-13.0387 1.78178
-12.5387 2.06857
-12.0387 2.33443
-11.5387 2.57041
-11.0387 2.74901
-10.5387 2.91341
-10.0387 2.96629
-9.53874 2.9963
-9.03874 2.97731
-8.53874 2.96331
-8.03874 2.90509
-7.53874 2.87709
-7.03874 2.90689
-6.53874 2.95437
-6.03874 2.99207
-5.53874 3.14482
-5.03874 3.22286
-4.53874 3.3291
-4.03874 3.39772
-3.53874 3.39577
-3.03874 3.35482
-2.53874 3.25474
-2.03874 3.13581
-1.53874 3.00759
-1.03874 2.85727
-0.538744 2.76468
-0.0387436 2.7136
0.461256 2.76447
0.961256 2.86094
1.46126 2.98043
1.96126 3.11488
2.46126 3.26354
2.96126 3.32744
3.46126 3.41982
3.96126 3.37173
4.46126 3.32772
4.96126 3.23665
5.46126 3.11003
5.96126 2.98784
6.46126 2.92664
6.96126 2.85699
7.46126 2.86663
7.96126 2.91895
8.46126 2.93108
8.96126 2.98278
9.46126 3.01002
9.96126 2.96691
10.4613 2.88603
10.9613 2.77154
11.4613 2.59016
11.9613 2.34739
12.4613 2.05797
12.9613 1.77437
13.4613 1.47462
13.9613 1.18388
14.4613 0.937915
14.9613 0.724453
15.4613 0.542734
15.9613 0.374806
