# z rho/M
-106.289 0
-105.789 0
-105.289 0
-104.789 0
-104.289 0
-103.789 0
-103.289 0
-102.789 0
-102.289 0
-101.789 0
-101.289 0
-100.789 0
-100.289 0
-99.7887 0
-99.2887 0
-98.7887 0
-98.2887 0
-97.7887 0
-97.2887 0
-96.7887 0
-96.2887 0
-95.7887 0
-95.2887 0
-94.7887 0
-94.2887 0
-93.7887 0
-93.2887 0
-92.7887 0
-92.2887 0
-91.7887 0
-91.2887 0
-90.7887 0
-90.2887 0
-89.7887 0
-89.2887 0
-88.7887 0
-88.2887 0
-87.7887 0
-87.2887 0
-86.7887 0
-86.2887 0
-85.7887 0
-85.2887 0
-84.7887 0
-84.2887 0
-83.7887 0
-83.2887 0
-82.7887 0
-82.2887 0
-81.7887 0
-81.2887 0
-80.7887 0
-80.2887 0
-79.7887 0
-79.2887 0
-78.7887 0
-78.2887 0
-77.7887 0
-77.2887 0
-76.7887 0
-76.2887 0
-75.7887 0
-75.2887 0
-74.7887 0
-74.2887 0
-73.7887 0
-73.2887 0
-72.7887 0
-72.2887 0
-71.7887 0
-71.2887 0
-70.7887 0
-70.2887 0
-69.7887 0
-69.2887 0
-68.7887 0
-68.2887 0
-67.7887 0
-67.2887 0
-66.7887 0
-66.2887 0
-65.7887 0
-65.2887 0
-64.7887 0
-64.2887 0
-63.7887 0
-63.2887 0
-62.7887 0
-62.2887 0
-61.7887 0
-61.2887 0
-60.7887 0
-60.2887 0
-59.7887 0
-59.2887 0
-58.7887 0
-58.2887 0
-57.7887 0
-57.2887 0
-56.7887 0
-56.2887 0
-55.7887 0
-55.2887 0
-54.7887 0
-54.2887 0
-53.7887 0
-53.2887 0
-52.7887 0
-52.2887 0
-51.7887 0
-51.2887 0
-50.7887 0
-50.2887 0
-49.7887 0
-49.2887 0
-48.7887 0
-48.2887 0
-47.7887 0
-47.2887 0
-46.7887 0
-46.2887 0
-45.7887 0
-45.2887 0
-44.7887 0
-44.2887 0
-43.7887 0
-43.2887 0
-42.7887 0
-42.2887 0
-41.7887 0
-41.2887 0
-40.7887 0
-40.2887 0
-39.7887 0
-39.2887 0
-38.7887 0
-38.2887 0
-37.7887 0
-37.2887 0
-36.7887 0
-36.2887 0
-35.7887 0
-35.2887 0
-34.7887 0
-34.2887 0
-33.7887 0
-33.2887 0
-32.7887 0
-32.2887 0
-31.7887 0
-31.2887 0
-30.7887 0
-30.2887 0
-29.7887 0
-29.2887 0
-28.7887 0
-28.2887 0
-27.7887 0
-27.2887 0
-26.7887 0
-26.2887 0
-25.7887 0
-25.2887 0
-24.7887 0
-24.2887 0
-23.7887 0
-23.2887 0
-22.7887 0
-22.2887 0
-21.7887 0.00033469
-21.2887 0
-20.7887 0.00100407
-20.2887 0.00100407
-19.7887 0.00133876
-19.2887 0.00267752
-18.7887 0.00435097
-18.2887 0.0107101
-17.7887 0.0214201
-17.2887 0.0481953
-16.7887 0.0809949
-16.2887 0.178724
-15.7887 0.336363
-15.2887 0.576001
-14.7887 0.943156
-14.2887 1.39599
-13.7887 1.99776
-13.2887 2.58916
-12.7887 3.1511
-12.2887 3.52027
-11.7887 3.78902
-11.2887 3.91754
-10.7887 3.99218
-10.2887 3.9557
-9.78865 3.95302
-9.28865 3.82316
-8.78865 3.56143
-8.28865 3.38539
-7.78865 2.98209
-7.28865 2.76253
-6.78865 2.73375
-6.28865 2.89641
-5.78865 3.30874
-5.28865 3.64511
-4.78865 3.87705
-4.28865 4.04908
-3.78865 4.14346
-3.28865 4.14045
-2.78865 4.0223
-2.28865 3.90516
-1.78865 3.66552
-1.28865 3.17788
-0.788651 2.69693
-0.288651 2.2451
0.211349 2.04429
0.711349 2.15975
1.21135 2.54532
1.71135 3.09588
2.21135 3.61532
2.71135 3.98047
3.21135 4.09393
3.71135 4.13074
4.21135 4.1371
4.71135 4.04038
5.21135 3.87504
5.71135 3.68159
6.21135 3.32247
6.71135 2.99849
7.21135 2.79935
7.71135 2.71233
8.21135 2.87164
8.71135 3.25988
9.21135 3.56746
9.71135 3.85328
10.2113 3.95302
10.7113 4.04171
11.2113 3.92457
11.7113 3.91989
12.2113 3.72945
12.7113 3.59323
13.2113 3.13303
13.7113 2.60824
14.2113 2.05332
14.7113 1.47264
15.2113 0.92274
15.7113 0.551234
16.2113 0.324649
16.7113 0.157304
17.2113 0.0836724
17.7113 0.0348077
18.2113 0.019412
18.7113 0.0103754
19.2113 0.0033469
19.7113 0.00267752
20.2113 0.00033469
20.7113 0
21.2113 0
21.7113 0
22.2113 0
22.7113 0
