# z rho/M
-105.138 0
-104.638 0
-104.138 0
-103.638 0
-103.138 0
-102.638 0
-102.138 0
-101.638 0
-101.138 0
-100.638 0
-100.138 0
-99.6376 0
-99.1376 0
-98.6376 0
-98.1376 0
-97.6376 0
-97.1376 0
-96.6376 0
-96.1376 0
-95.6376 0
-95.1376 0
-94.6376 0
-94.1376 0
-93.6376 0
-93.1376 0
-92.6376 0
-92.1376 0
-91.6376 0
-91.1376 0
-90.6376 0
-90.1376 0
-89.6376 0
-89.1376 0
-88.6376 0
-88.1376 0
-87.6376 0
-87.1376 0
-86.6376 0
-86.1376 0
-85.6376 0
-85.1376 0
-84.6376 0
-84.1376 0
-83.6376 0
-83.1376 0
-82.6376 0
-82.1376 0
-81.6376 0
-81.1376 0
-80.6376 0
-80.1376 0
-79.6376 0
-79.1376 0
-78.6376 0
-78.1376 0
-77.6376 0
-77.1376 0
-76.6376 0
-76.1376 0
-75.6376 0
-75.1376 0
-74.6376 0
-74.1376 0
-73.6376 0
-73.1376 0
-72.6376 0
-72.1376 0
-71.6376 0
-71.1376 0
-70.6376 0
-70.1376 0
-69.6376 0
-69.1376 0
-68.6376 0
-68.1376 0
-67.6376 0
-67.1376 0
-66.6376 0
-66.1376 0
-65.6376 0
-65.1376 0
-64.6376 0
-64.1376 0
-63.6376 0
-63.1376 0
-62.6376 0
-62.1376 0
-61.6376 0
-61.1376 0
-60.6376 0
-60.1376 0
-59.6376 0
-59.1376 0
-58.6376 0
-58.1376 0
-57.6376 0
-57.1376 0
-56.6376 0
-56.1376 0
-55.6376 0
-55.1376 0
-54.6376 0
-54.1376 0
-53.6376 0
-53.1376 0
-52.6376 0
-52.1376 0
-51.6376 0
-51.1376 0
-50.6376 0
-50.1376 0
-49.6376 0
-49.1376 0
-48.6376 0
-48.1376 0
-47.6376 0
-47.1376 0
-46.6376 0
-46.1376 0
-45.6376 0
-45.1376 0
-44.6376 0
-44.1376 0
-43.6376 0
-43.1376 0
-42.6376 0
-42.1376 0
-41.6376 0
-41.1376 0
-40.6376 0
-40.1376 0
-39.6376 0
-39.1376 0
-38.6376 0
-38.1376 0
-37.6376 0
-37.1376 0
-36.6376 0
-36.1376 0
-35.6376 0
-35.1376 0
-34.6376 0
-34.1376 0
-33.6376 0
-33.1376 0
-32.6376 0
-32.1376 0
-31.6376 0
-31.1376 0
-30.6376 0
-30.1376 0
-29.6376 0
-29.1376 0
-28.6376 0
-28.1376 0
-27.6376 0
-27.1376 0
-26.6376 0
-26.1376 0
-25.6376 0
-25.1376 0
-24.6376 0
-24.1376 0
-23.6376 0
-23.1376 0
-22.6376 0
-22.1376 8.27663e-05
-21.6376 8.27663e-05
-21.1376 0.000413831
-20.6376 0.000331065
-20.1376 0.00223469
-19.6376 0.00331065
-19.1376 0.00645577
-18.6376 0.0132426
-18.1376 0.0331065
-17.6376 0.0678684
-17.1376 0.129529
-16.6376 0.25641
-16.1376 0.450911
-15.6376 0.745559
-15.1376 1.11586
-14.6376 1.56354
-14.1376 2.05062
-13.6376 2.56393
-13.1376 2.99448
-12.6376 3.31504
-12.1376 3.57931
-11.6376 3.7556
-11.1376 3.81602
-10.6376 3.88795
-10.1376 3.89631
-9.63757 3.72068
-9.13757 3.5731
-8.63757 3.31073
-8.13757 3.08255
-7.63757 2.9488
-7.13757 2.92529
-6.63757 3.02685
-6.13757 3.29377
-5.63757 3.48405
-5.13757 3.66878
-4.63757 3.87114
-4.13757 3.97212
-3.63757 4.01102
-3.13757 3.94721
-2.63757 3.80021
-2.13757 3.46129
-1.63757 3.05184
-1.13757 2.58562
-0.637567 2.26242
-0.137567 2.15888
0.362433 2.26755
0.862433 2.57983
1.36243 3.02966
1.86243 3.44655
2.36243 3.77183
2.86243 3.94936
3.36243 4.04545
3.86243 3.97874
4.36243 3.87785
4.86243 3.71778
5.36243 3.48802
5.86243 3.23293
6.36243 3.03727
6.86243 2.94259
7.36243 2.94714
7.86243 3.08727
8.36243 3.28847
8.86243 3.51806
9.36243 3.73648
9.86243 3.86303
10.3624 3.92279
10.8624 3.86966
11.3624 3.75502
11.8624 3.59123
12.3624 3.34409
12.8624 2.98199
13.3624 2.53116
13.8624 2.0507
14.3624 1.58448
14.8624 1.12769
15.3624 0.724702
15.8624 0.430964
16.3624 0.257238
16.8624 0.135654
17.3624 0.0688616
17.8624 0.0302097
18.3624 0.0125805
18.8624 0.00546258
19.3624 0.00231746
19.8624 0.00148979
20.3624 0.000248299
20.8624 0.000165533
21.3624 0
21.8624 0
22.3624 0
22.8624 0
23.3624 0
23.8624 0
24.3624 0
24.8624 0
25.3624 0
25.8624 0
26.3624 0
26.8624 0
27.3624 0
27.8624 0
28.3624 0
28.8624 0
29.3624 0
29.8624 0
30.3624 0
30.8624 0
31.3624 0
31.8624 0
32.3624 0
32.8624 0
33.3624 0
33.8624 0
34.3624 0
34.8624 0
35.3624 0
35.8624 0
36.3624 0
36.8624 0
37.3624 0
37.8624 0
38.3624 0
38.8624 0
39.3624 0
39.8624 0
40.3624 0
40.8624 0
41.3624 0
41.8624 0
42.3624 0
42.8624 0
43.3624 0
43.8624 0
44.3624 0
44.8624 0
45.3624 0
45.8624 0
46.3624 0
46.8624 0
47.3624 0
47.8624 0
48.3624 0
48.8624 0
49.3624 0
49.8624 0
50.3624 0
50.8624 0
51.3624 0
51.8624 0
52.3624 0
52.8624 0
53.3624 0
53.8624 0
54.3624 0
54.8624 0
55.3624 0
55.8624 0
56.3624 0
56.8624 0
57.3624 0
57.8624 0
58.3624 0
58.8624 0
59.3624 0
59.8624 0
60.3624 0
60.8624 0
61.3624 0
61.8624 0
62.3624 0
62.8624 0
63.3624 0
63.8624 0
