# z rho/M
-87.118 0
-86.618 0
-86.118 0
-85.618 0
-85.118 0
-84.618 0
-84.118 0
-83.618 0
-83.118 0
-82.618 0
-82.118 0
-81.618 0
-81.118 0
-80.618 0
-80.118 0
-79.618 0
-79.118 0
-78.618 0
-78.118 0
-77.618 0
-77.118 0
-76.618 0
-76.118 0
-75.618 0
-75.118 0
-74.618 0
-74.118 0
-73.618 0
-73.118 0
-72.618 0
-72.118 0
-71.618 0
-71.118 0
-70.618 0
-70.118 0
-69.618 0
-69.118 0
-68.618 0
-68.118 0
-67.618 0
-67.118 0
-66.618 0
-66.118 0
-65.618 0
-65.118 0
-64.618 0
-64.118 0
-63.618 0
-63.118 0
-62.618 0
-62.118 0
-61.618 0
-61.118 0
-60.618 0
-60.118 0
-59.618 0
-59.118 0
-58.618 0
-58.118 0
-57.618 0
-57.118 0
-56.618 0
-56.118 0
-55.618 0
-55.118 0
-54.618 0
-54.118 0
-53.618 0
-53.118 0
-52.618 0
-52.118 0
-51.618 0
-51.118 0
-50.618 0
-50.118 0
-49.618 0
-49.118 0
-48.618 0
-48.118 0
-47.618 0
-47.118 0
-46.618 0
-46.118 0
-45.618 0
-45.118 0
-44.618 0
-44.118 0
-43.618 0
-43.118 0
-42.618 0
-42.118 0
-41.618 0
-41.118 0
-40.618 0
-40.118 0
-39.618 0
-39.118 0
-38.618 0
-38.118 0
-37.618 0.000274324
-37.118 0
-36.618 0
-36.118 0
-35.618 0.000548648
-35.118 0
-34.618 0
-34.118 0
-33.618 0.000548648
-33.118 0
-32.618 0
-32.118 0.000274324
-31.618 0
-31.118 0.00137162
-30.618 0.000548648
-30.118 0.00192027
-29.618 0.00192027
-29.118 0.00466351
-28.618 0.00548648
-28.118 0.00905269
-27.618 0.0115216
-27.118 0.0172824
-26.618 0.0323702
-26.118 0.0375824
-25.618 0.0603513
-25.118 0.0916242
-24.618 0.137711
-24.118 0.210681
-23.618 0.281456
-23.118 0.408743
-22.618 0.533834
-22.118 0.69788
-21.618 0.924746
-21.118 1.1571
-20.618 1.38534
-20.118 1.65554
-19.618 1.91067
-19.118 2.10653
-18.618 2.32188
-18.118 2.42009
-17.618 2.48867
-17.118 2.5342
-16.618 2.45849
-16.118 2.37126
-15.618 2.19953
-15.118 2.01793
-14.618 1.82809
-14.118 1.58312
-13.618 1.3686
-13.118 1.12775
-12.618 0.929684
-12.118 0.770302
-11.618 0.625459
-11.118 0.525056
-10.618 0.408194
-10.118 0.334675
-9.61805 0.263625
-9.11805 0.226317
-8.61805 0.181328
-8.11805 0.148684
-7.61805 0.117136
-7.11805 0.0836688
-6.61805 0.0809256
-6.11805 0.0507499
-5.61805 0.0422459
-5.11805 0.0375824
-4.61805 0.0323702
-4.11805 0.0233175
-3.61805 0.0224946
-3.11805 0.0192027
-2.61805 0.0117959
-2.11805 0.00987566
-1.61805 0.00905269
-1.11805 0.00713242
-0.618049 0.00438918
-0.118049 0.0068581
0.381951 0.00493783
0.881951 0.0057608
1.38195 0.01015
1.88195 0.0131675
2.38195 0.0123446
2.88195 0.0175567
3.38195 0.0181054
3.88195 0.0216716
4.38195 0.0312729
4.88195 0.0359364
5.38195 0.049927
5.88195 0.0608999
6.38195 0.0790053
6.88195 0.0886066
7.38195 0.113844
7.88195 0.132224
8.38195 0.159931
8.88195 0.195319
9.38195 0.245794
9.88195 0.310809
10.382 0.396398
10.882 0.50119
11.382 0.62683
11.882 0.753842
12.382 0.916791
12.882 1.10333
13.382 1.33952
13.882 1.58093
14.382 1.77817
14.882 2.00064
15.382 2.17731
15.882 2.36879
16.382 2.453
16.882 2.53256
17.382 2.49141
17.882 2.41542
18.382 2.30185
18.882 2.0802
19.382 1.84318
19.882 1.6218
20.382 1.37272
20.882 1.14366
21.382 0.906915
21.882 0.687456
22.382 0.520941
22.882 0.412035
23.382 0.296544
23.882 0.218911
24.382 0.149781
24.882 0.10534
25.382 0.0672094
25.882 0.0458121
26.382 0.03045
26.882 0.0175567
27.382 0.0131675
27.882 0.01015
28.382 0.00932701
28.882 0.00850404
29.382 0.00274324
29.882 0.00137162
30.382 0.00246892
30.882 0.00137162
31.382 0.0010973
31.882 0
32.382 0.000548648
32.882 0.0010973
33.382 0.000274324
33.882 0
34.382 0
34.882 0
35.382 0
35.882 0
36.382 0
36.882 0
37.382 0
37.882 0
38.382 0
38.882 0
39.382 0
39.882 0
40.382 0
40.882 0
41.382 0
41.882 0
42.382 0
42.882 0
43.382 0
43.882 0
44.382 0
44.882 0
45.382 0
45.882 0
46.382 0
46.882 0
47.382 0
47.882 0
48.382 0
48.882 0
49.382 0
49.882 0
50.382 0
50.882 0
51.382 0
51.882 0
52.382 0
52.882 0
53.382 0
53.882 0
54.382 0
54.882 0
55.382 0
55.882 0
56.382 0
56.882 0
57.382 0
57.882 0
58.382 0
58.882 0
59.382 0
59.882 0
60.382 0
60.882 0
61.382 0
61.882 0
62.382 0
62.882 0
63.382 0
63.882 0
64.382 0
64.882 0
65.382 0
65.882 0
66.382 0
66.882 0
67.382 0
67.882 0
68.382 0
68.882 0
69.382 0
69.882 0
70.382 0
70.882 0
71.382 0
71.882 0
72.382 0
72.882 0
73.382 0
73.882 0
74.382 0
74.882 0
75.382 0
75.882 0
76.382 0
76.882 0
77.382 0
77.882 0
78.382 0
78.882 0
79.382 0
79.882 0
80.382 0
80.882 0
81.382 0
81.882 0
82.382 0
82.882 0
83.382 0
83.882 0
84.382 0
84.882 0
85.382 0
85.882 0
86.382 0
86.882 0
