# z rho/M
-106.389 0
-105.889 0
-105.389 0
-104.889 0
-104.389 0
-103.889 0
-103.389 0
-102.889 0
-102.389 0
-101.889 0
-101.389 0
-100.889 0
-100.389 0
-99.8892 0
-99.3892 0
-98.8892 0
-98.3892 0
-97.8892 0
-97.3892 0
-96.8892 0
-96.3892 0
-95.8892 0
-95.3892 0
-94.8892 0
-94.3892 0
-93.8892 0
-93.3892 0
-92.8892 0
-92.3892 0
-91.8892 0
-91.3892 0
-90.8892 0
-90.3892 0
-89.8892 0
-89.3892 0
-88.8892 0
-88.3892 0
-87.8892 0
-87.3892 0
-86.8892 0
-86.3892 0
-85.8892 0
-85.3892 0
-84.8892 0
-84.3892 0
-83.8892 0
-83.3892 0
-82.8892 0
-82.3892 0
-81.8892 0
-81.3892 0
-80.8892 0
-80.3892 0
-79.8892 0
-79.3892 0
-78.8892 0
-78.3892 0
-77.8892 0
-77.3892 0
-76.8892 0
-76.3892 0
-75.8892 0
-75.3892 0
-74.8892 0
-74.3892 0
-73.8892 0
-73.3892 0
-72.8892 0
-72.3892 0
-71.8892 0
-71.3892 0
-70.8892 0
-70.3892 0
-69.8892 0
-69.3892 0
-68.8892 0
-68.3892 0
-67.8892 0
-67.3892 0
-66.8892 0
-66.3892 0
-65.8892 0
-65.3892 0
-64.8892 0
-64.3892 0
-63.8892 0
-63.3892 0
-62.8892 0
-62.3892 0
-61.8892 0
-61.3892 0
-60.8892 0
-60.3892 0
-59.8892 0
-59.3892 0
-58.8892 0
-58.3892 0
-57.8892 0
-57.3892 0
-56.8892 0
-56.3892 0
-55.8892 0
-55.3892 0
-54.8892 0
-54.3892 0
-53.8892 0
-53.3892 0
-52.8892 0
-52.3892 0
-51.8892 0
-51.3892 0
-50.8892 0
-50.3892 0
-49.8892 0
-49.3892 0
-48.8892 0
-48.3892 0
-47.8892 0
-47.3892 0
-46.8892 0
-46.3892 0
-45.8892 0
-45.3892 0
-44.8892 0
-44.3892 0
-43.8892 0
-43.3892 0
-42.8892 0
-42.3892 0
-41.8892 0
-41.3892 0
-40.8892 0
-40.3892 0
-39.8892 0
-39.3892 0
-38.8892 0
-38.3892 0
-37.8892 0
-37.3892 0
-36.8892 0
-36.3892 0
-35.8892 0
-35.3892 0
-34.8892 0
-34.3892 0
-33.8892 0
-33.3892 0
-32.8892 0
-32.3892 0
-31.8892 0
-31.3892 0
-30.8892 0
-30.3892 0
-29.8892 0
-29.3892 0
-28.8892 0
-28.3892 0
-27.8892 0
-27.3892 0
-26.8892 0
-26.3892 0.000670013
-25.8892 0.000335006
-25.3892 0.00268005
-24.8892 0.0167503
-24.3892 0.0442208
-23.8892 0.0971518
-23.3892 0.233834
-22.8892 0.408038
-22.3892 0.753094
-21.8892 1.22981
-21.3892 1.88207
-20.8892 2.55576
-20.3892 3.18491
-19.8892 3.65726
-19.3892 3.83917
-18.8892 3.8251
-18.3892 3.80668
-17.8892 3.85827
-17.3892 3.88574
-16.8892 3.83381
-16.3892 3.57552
-15.8892 3.11556
-15.3892 2.4154
-14.8892 1.66096
-14.3892 1.09246
-13.8892 0.622777
-13.3892 0.336011
-12.8892 0.180903
-12.3892 0.0783915
-11.8892 0.0298156
-11.3892 0.0180903
-10.8892 0.00670013
-10.3892 0.000670013
-9.88919 0.00100502
-9.38919 0.000670013
-8.88919 0.000670013
-8.38919 0
-7.88919 0
-7.38919 0
-6.88919 0
-6.38919 0
-5.88919 0
-5.38919 0
-4.88919 0
-4.38919 0
-3.88919 0
-3.38919 0
-2.88919 0
-2.38919 0
-1.88919 0
-1.38919 0
-0.889187 0
-0.389187 0
0.110813 0
0.610813 0
1.11081 0
1.61081 0
2.11081 0
2.61081 0
3.11081 0
3.61081 0
4.11081 0
4.61081 0
5.11081 0
5.61081 0
6.11081 0
6.61081 0
7.11081 0
7.61081 0
8.11081 0
8.61081 0
9.11081 0
9.61081 0.00100502
10.1108 0.000670013
10.6108 0.00201004
11.1108 0.0050251
11.6108 0.0134003
12.1108 0.0314906
12.6108 0.0730314
13.1108 0.173533
13.6108 0.346732
14.1108 0.624117
14.6108 1.09447
15.1108 1.64823
15.6108 2.40602
16.1108 3.10149
16.6108 3.59562
17.1108 3.90684
17.6108 3.91924
18.1108 3.84855
18.6108 3.78256
19.1108 3.82242
19.6108 3.77887
20.1108 3.64822
20.6108 3.16615
21.1108 2.55844
21.6108 1.86096
22.1108 1.23785
22.6108 0.755439
23.1108 0.418423
23.6108 0.245225
24.1108 0.109882
24.6108 0.0455609
25.1108 0.0207704
25.6108 0.0050251
26.1108 0.00234504
26.6108 0.000670013
27.1108 0.000670013
27.6108 0
28.1108 0
28.6108 0
29.1108 0
29.6108 0
30.1108 0
30.6108 0
31.1108 0
31.6108 0
32.1108 0
32.6108 0
33.1108 0
33.6108 0
