# z rho/M
-90.1406 0
-89.6406 0
-89.1406 0
-88.6406 0
-88.1406 0
-87.6406 0
-87.1406 0
-86.6406 0
-86.1406 0
-85.6406 0
-85.1406 0
-84.6406 0
-84.1406 0
-83.6406 0
-83.1406 0
-82.6406 0
-82.1406 0
-81.6406 0
-81.1406 0
-80.6406 0
-80.1406 0
-79.6406 0
-79.1406 0
-78.6406 0
-78.1406 0
-77.6406 0
-77.1406 0
-76.6406 0
-76.1406 0
-75.6406 0
-75.1406 0
-74.6406 0
-74.1406 0
-73.6406 0
-73.1406 0
-72.6406 0
-72.1406 0
-71.6406 0
-71.1406 0
-70.6406 0
-70.1406 0
-69.6406 0
-69.1406 0
-68.6406 0
-68.1406 0
-67.6406 0
-67.1406 0
-66.6406 0
-66.1406 0
-65.6406 0
-65.1406 0
-64.6406 0
-64.1406 0
-63.6406 0
-63.1406 0
-62.6406 0
-62.1406 0
-61.6406 0
-61.1406 0
-60.6406 0
-60.1406 0
-59.6406 0
-59.1406 0
-58.6406 0
-58.1406 0
-57.6406 0
-57.1406 0
-56.6406 0
-56.1406 0
-55.6406 0
-55.1406 0
-54.6406 0
-54.1406 0
-53.6406 0
-53.1406 0
-52.6406 0
-52.1406 0
-51.6406 0
-51.1406 0
-50.6406 0
-50.1406 0
-49.6406 0
-49.1406 0
-48.6406 0
-48.1406 0
-47.6406 0
-47.1406 0
-46.6406 0
-46.1406 0
-45.6406 0
-45.1406 0
-44.6406 0
-44.1406 0
-43.6406 0
-43.1406 0
-42.6406 0
-42.1406 0
-41.6406 0
-41.1406 0
-40.6406 0
-40.1406 0
-39.6406 0
-39.1406 0
-38.6406 0
-38.1406 0
-37.6406 0
-37.1406 0
-36.6406 0
-36.1406 0
-35.6406 0
-35.1406 0
-34.6406 0
-34.1406 0
-33.6406 0
-33.1406 0
-32.6406 0
-32.1406 0
-31.6406 0
-31.1406 0
-30.6406 0
-30.1406 0
-29.6406 0
-29.1406 0
-28.6406 0
-28.1406 0
-27.6406 0
-27.1406 0
-26.6406 0
-26.1406 0
-25.6406 0
-25.1406 0
-24.6406 0
-24.1406 0
-23.6406 0
-23.1406 0
-22.6406 0
-22.1406 0.000851524
-21.6406 0.00170305
-21.1406 0.00283841
-20.6406 0.00539299
-20.1406 0.00766372
-19.6406 0.0181659
-19.1406 0.0241265
-18.6406 0.0332094
-18.1406 0.0661351
-17.6406 0.101899
-17.1406 0.156113
-16.6406 0.228209
-16.1406 0.321592
-15.6406 0.488207
-15.1406 0.682639
-14.6406 0.895804
-14.1406 1.18192
-13.6406 1.47626
-13.1406 1.82425
-12.6406 2.14527
-12.1406 2.46062
-11.6406 2.7351
-11.1406 2.93861
-10.6406 3.08365
-10.1406 3.14525
-9.64056 3.09728
-9.14056 3.08479
-8.64056 2.98743
-8.14056 2.97551
-7.64056 2.85885
-7.14056 2.89944
-6.64056 2.93691
-6.14056 3.11715
-5.64056 3.21592
-5.14056 3.35132
-4.64056 3.40808
-4.14056 3.5395
-3.64056 3.54319
-3.14056 3.54149
-2.64056 3.40468
-2.14056 3.21195
-1.64056 3.06265
-1.14056 2.85573
-0.640559 2.73737
-0.140559 2.70529
0.359441 2.73907
0.859441 2.81684
1.35944 3.04789
1.85944 3.24857
2.35944 3.41972
2.85944 3.49891
3.35944 3.5449
3.85944 3.6028
4.35944 3.40808
4.85944 3.3533
5.35944 3.18385
5.85944 3.06009
6.35944 2.90796
6.85944 2.76149
7.35944 2.89433
7.85944 2.90994
8.35944 3.06208
8.85944 3.15007
9.35944 3.10295
9.85944 3.11516
10.3594 3.09302
10.8594 2.88951
11.3594 2.71636
11.8594 2.46999
12.3594 2.1694
12.8594 1.85774
13.3594 1.45724
13.8594 1.16432
14.3594 0.90517
14.8594 0.681219
15.3594 0.484801
15.8594 0.344584
16.3594 0.237291
16.8594 0.151004
17.3594 0.105305
17.8594 0.0740826
18.3594 0.0397378
18.8594 0.0283841
19.3594 0.0164628
19.8594 0.00936677
20.3594 0.00908293
20.8594 0.00368994
21.3594 0.00312226
21.8594 0.00141921
22.3594 0.00198689
22.8594 0.00113537
23.3594 0.000567683
23.8594 0.000283841
24.3594 0.000567683
24.8594 0
25.3594 0
25.8594 0
26.3594 0
26.8594 0
27.3594 0
27.8594 0
28.3594 0
28.8594 0
29.3594 0
29.8594 0
30.3594 0
30.8594 0
31.3594 0
31.8594 0
32.3594 0
32.8594 0
33.3594 0
33.8594 0
34.3594 0
34.8594 0
35.3594 0
35.8594 0
36.3594 0
36.8594 0
37.3594 0
37.8594 0
38.3594 0
38.8594 0
39.3594 0
39.8594 0
40.3594 0
40.8594 0
41.3594 0
41.8594 0
42.3594 0
42.8594 0
43.3594 0
43.8594 0
44.3594 0
44.8594 0
45.3594 0
45.8594 0
46.3594 0
46.8594 0
47.3594 0
47.8594 0
48.3594 0
48.8594 0
49.3594 0
49.8594 0
50.3594 0
50.8594 0
51.3594 0
51.8594 0
52.3594 0
52.8594 0
53.3594 0
53.8594 0
54.3594 0
54.8594 0
55.3594 0
55.8594 0
56.3594 0
56.8594 0
57.3594 0
57.8594 0
58.3594 0
58.8594 0
59.3594 0
59.8594 0
60.3594 0
60.8594 0
61.3594 0
61.8594 0
62.3594 0
