# z rho/M
-93.375 0
-92.875 0
-92.375 0
-91.875 0
-91.375 0
-90.875 0
-90.375 0
-89.875 0
-89.375 0
-88.875 0
-88.375 0
-87.875 0
-87.375 0
-86.875 0
-86.375 0
-85.875 0
-85.375 0
-84.875 0
-84.375 0
-83.875 0
-83.375 0
-82.875 0
-82.375 0
-81.875 0
-81.375 0
-80.875 0
-80.375 0
-79.875 0
-79.375 0
-78.875 0
-78.375 0
-77.875 0
-77.375 0
-76.875 0
-76.375 0
-75.875 0
-75.375 0
-74.875 0
-74.375 0
-73.875 0
-73.375 0
-72.875 0
-72.375 0
-71.875 0
-71.375 0
-70.875 0
-70.375 0
-69.875 0
-69.375 0
-68.875 0
-68.375 0
-67.875 0
-67.375 0
-66.875 0
-66.375 0
-65.875 0
-65.375 0
-64.875 0
-64.375 0
-63.875 0
-63.375 0
-62.875 0
-62.375 0
-61.875 0
-61.375 0
-60.875 0
-60.375 0
-59.875 0
-59.375 0
-58.875 0
-58.375 0
-57.875 0
-57.375 0
-56.875 0
-56.375 0
-55.875 0
-55.375 0
-54.875 0
-54.375 0
-53.875 0
-53.375 0
-52.875 0
-52.375 0
-51.875 0
-51.375 0
-50.875 0
-50.375 0
-49.875 0
-49.375 0
-48.875 0
-48.375 0
-47.875 0
-47.375 0
-46.875 0
-46.375 0
-45.875 0
-45.375 0
-44.875 0
-44.375 0
-43.875 0
-43.375 0
-42.875 0
-42.375 0
-41.875 0
-41.375 0
-40.875 0
-40.375 0
-39.875 0
-39.375 0
-38.875 0
-38.375 0
-37.875 0
-37.375 0
-36.875 0
-36.375 0
-35.875 0
-35.375 0
-34.875 0
-34.375 0
-33.875 0
-33.375 0
-32.875 0
-32.375 0
-31.875 0
-31.375 0
-30.875 0
-30.375 0
-29.875 0
-29.375 0
-28.875 0
-28.375 0
-27.875 0
-27.375 0
-26.875 0
-26.375 0
-25.875 0
-25.375 0
-24.875 0
-24.375 0.000294026
-23.875 0.000882079
-23.375 0.000294026
-22.875 0.0011761
-22.375 0.000294026
-21.875 0.00176416
-21.375 0.00235221
-20.875 0.00352831
-20.375 0.00470442
-19.875 0.00882079
-19.375 0.0170535
-18.875 0.0214639
-18.375 0.0414577
-17.875 0.0614515
-17.375 0.103791
-16.875 0.1526
-16.375 0.247276
-15.875 0.344305
-15.375 0.507489
-14.875 0.703899
-14.375 1.00645
-13.875 1.27696
-13.375 1.65801
-12.875 1.99438
-12.375 2.28429
-11.875 2.60654
-11.375 2.90645
-10.875 3.03847
-10.375 3.21841
-9.87497 3.28427
-9.37497 3.27428
-8.87497 3.18783
-8.37497 3.15843
-7.87497 2.93938
-7.37497 2.91821
-6.87497 2.98466
-6.37497 3.01524
-5.87497 3.11197
-5.37497 3.22841
-4.87497 3.40012
-4.37497 3.53155
-3.87497 3.67209
-3.37497 3.68944
-2.87497 3.57124
-2.37497 3.49303
-1.87497 3.35219
-1.37497 3.10374
-0.874971 2.90733
-0.374971 2.78061
0.125029 2.73297
0.625029 2.75209
1.12503 2.93115
1.62503 3.13226
2.12503 3.31279
2.62503 3.48568
3.12503 3.59035
3.62503 3.66857
4.12503 3.59623
4.62503 3.60564
5.12503 3.42717
5.62503 3.22782
6.12503 3.13638
6.62503 3.02112
7.12503 2.9382
7.62503 2.9826
8.12503 2.97996
8.62503 3.09698
9.12503 3.20106
9.62503 3.25663
10.125 3.25487
10.625 3.17401
11.125 3.10256
11.625 2.93291
12.125 2.66006
12.625 2.3231
13.125 2.04319
13.625 1.62185
14.125 1.26902
14.625 0.991162
15.125 0.703899
15.625 0.494846
16.125 0.345775
16.625 0.233163
17.125 0.149953
17.625 0.0923242
18.125 0.0538068
18.625 0.0323429
19.125 0.0211699
19.625 0.0129372
20.125 0.0055865
20.625 0.0011761
21.125 0.0011761
21.625 0.000294026
22.125 0
22.625 0
23.125 0
23.625 0
24.125 0
24.625 0
25.125 0
25.625 0
26.125 0
26.625 0
27.125 0
27.625 0
28.125 0
28.625 0
29.125 0
29.625 0
30.125 0
30.625 0
31.125 0
31.625 0
32.125 0
32.625 0
33.125 0
33.625 0
34.125 0
34.625 0
35.125 0
35.625 0
36.125 0
36.625 0
37.125 0
37.625 0
38.125 0
38.625 0
39.125 0
39.625 0
40.125 0
40.625 0
41.125 0
41.625 0
42.125 0
42.625 0
43.125 0
43.625 0
44.125 0
44.625 0
45.125 0
45.625 0
46.125 0
46.625 0
47.125 0
47.625 0
48.125 0
48.625 0
49.125 0
49.625 0
50.125 0
50.625 0
51.125 0
51.625 0
52.125 0
52.625 0
53.125 0
53.625 0
54.125 0
54.625 0
55.125 0
55.625 0
56.125 0
56.625 0
57.125 0
57.625 0
58.125 0
58.625 0
59.125 0
59.625 0
60.125 0
60.625 0
61.125 0
61.625 0
62.125 0
62.625 0
63.125 0
63.625 0
64.125 0
64.625 0
65.125 0
65.625 0
66.125 0
66.625 0
67.125 0
67.625 0
68.125 0
68.625 0
69.125 0
69.625 0
70.125 0
70.625 0
71.125 0
71.625 0
72.125 0
72.625 0
73.125 0
73.625 0
74.125 0
74.625 0
75.125 0
75.625 0
76.125 0
76.625 0
77.125 0
77.625 0
78.125 0
78.625 0
79.125 0
79.625 0
80.125 0
80.625 0
81.125 0
81.625 0
82.125 0
82.625 0
83.125 0
83.625 0
84.125 0
84.625 0
85.125 0
85.625 0
86.125 0
86.625 0
87.125 0
87.625 0
88.125 0
88.625 0
89.125 0
89.625 0
90.125 0
90.625 0
91.125 0
91.625 0
92.125 0
92.625 0
93.125 0
